
auth.permission:id,name,content_type,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
7,Can add group,3,add_group
13,Can add message,5,add_message
4,Can add permission,2,add_permission
10,Can add user,4,add_user
8,Can change group,3,change_group
14,Can change message,5,change_message
5,Can change permission,2,change_permission
11,Can change user,4,change_user
9,Can delete group,3,delete_group
15,Can delete message,5,delete_message
6,Can delete permission,2,delete_permission
12,Can delete user,4,delete_user
16,Can add content type,6,add_contenttype
17,Can change content type,6,change_contenttype
18,Can delete content type,6,delete_contenttype
34,Can add endorsement,12,add_endorsement
31,Can add organization,11,add_organization
35,Can change endorsement,12,change_endorsement
32,Can change organization,11,change_organization
36,Can delete endorsement,12,delete_endorsement
33,Can delete organization,11,delete_organization
28,Can add candidate,10,add_candidate
25,Can add race,9,add_race
29,Can change candidate,10,change_candidate
26,Can change race,9,change_race
30,Can delete candidate,10,delete_candidate
27,Can delete race,9,delete_race
19,Can add session,7,add_session
20,Can change session,7,change_session
21,Can delete session,7,delete_session
22,Can add site,8,add_site
23,Can change site,8,change_site
24,Can delete site,8,delete_site

auth.user:id,username,first_name,last_name,email,password,is_staff,is_active,is_superuser,last_login,date_joined,groups,user_permissions
1,admin, , ,admin@envirovote.us,sha1$82540$63ad33deebdc60d4769c8c22e7f5f6481dcf6d89,True,True,True,2008-11-01 19:59:16,2008-11-01 19:59:16,,

contenttypes.contenttype:id,name,app_label,model
10,candidate,races,candidate
6,content type,contenttypes,contenttype
12,endorsement,endorsements,endorsement
3,group,auth,group
1,log entry,admin,logentry
5,message,auth,message
11,organization,endorsements,organization
2,permission,auth,permission
9,race,races,race
7,session,sessions,session
8,site,sites,site
4,user,auth,user

sites.site:id,domain,name
1,example.com,example.com


races.race:id,race_type,state,district,year,last_race,is_key,headline,deck,body,tally_updated,tally_notes,winner,projected
1,gov,MO,,2008,0,False,,,,,,,False
2,gov,MT,,2008,0,False,,,,,,,False
3,gov,IN,,2008,0,False,,,,,,,False
4,gov,DE,,2008,0,False,,,,,,,False
5,gov,NC,,2008,0,False,,,,,,,False
6,gov,ND,,2008,0,False,,,,,,,False
7,gov,UT,,2008,0,False,,,,,,,False
8,gov,WV,,2008,0,False,,,,,,,False
9,gov,WA,,2008,0,False,,,,,,,False
10,gov,NH,,2008,0,False,,,,,,,False
11,gov,VT,,2008,0,False,,,,,,,False
12,hou,FL,11,2008,609,False,,,,,,,False
13,hou,FL,7,2008,605,False,,,,,,,False
14,hou,FL,13,2008,611,False,,,,,,,False
15,hou,FL,24,2008,622,False,,,,,,,False
16,hou,FL,9,2008,607,False,,,,,,,False
17,hou,FL,15,2008,613,False,,,,,,,False
18,hou,FL,2,2008,600,False,,,,,,,False
19,hou,FL,3,2008,601,False,,,,,,,False
20,hou,FL,5,2008,603,False,,,,,,,False
21,hou,FL,1,2008,599,False,,,,,,,False
22,hou,FL,4,2008,602,False,,,,,,,False
23,hou,FL,6,2008,604,False,,,,,,,False
24,hou,FL,21,2008,619,False,,,,,,,False
25,hou,FL,25,2008,623,False,,,,,,,False
26,hou,FL,14,2008,612,False,,,,,,,False
27,hou,FL,19,2008,617,False,,,,,,,False
28,hou,FL,8,2008,606,False,,,,,,,False
29,hou,FL,10,2008,608,False,,,,,,,False
30,hou,FL,23,2008,621,False,,,,,,,False
31,hou,FL,20,2008,618,False,,,,,,,False
32,hou,FL,22,2008,620,False,,,,,,,False
33,hou,FL,16,2008,614,False,,,,,,,False
34,hou,FL,17,2008,615,False,,,,,,,False
35,hou,FL,12,2008,610,False,,,,,,,False
36,hou,FL,18,2008,616,False,,,,,,,False
37,hou,MI,8,2008,718,False,,,,,,,False
38,hou,MI,4,2008,714,False,,,,,,,False
