"http://www.votesmart.org/issue_rating_detail.php?r_id=3078&rtype=R",,,,,
"AK","U.S. Senate","Sr","Ted Stevens","Republican",67
"AL","U.S. Senate","Sr","Richard Shelby","Republican",33
"AL","U.S. Senate","Jr","Jefferson Sessions","Republican",33
"AR","U.S. Senate","Sr","Blanche Lincoln","Democratic",67
"AZ","U.S. Senate","Sr","John McCain","Republican",33
"AZ","U.S. Senate","Jr","Jon Kyl","Republican",33
"CA","U.S. Senate","Sr","Dianne Feinstein","Democratic",67
"CA","U.S. Senate","Jr","Barbara Boxer","Democratic",67
"CO","U.S. Senate","Sr","Wayne Allard","Republican",33
"CT","U.S. Senate","Sr","Christopher Dodd","Democratic",100
"CT","U.S. Senate","Jr","Joseph Lieberman","Independent Democrat",100
"DE","U.S. Senate","Sr","Joseph Biden","Democratic",100
"DE","U.S. Senate","Jr","Thomas Carper","Democratic",100
"FL","U.S. Senate","Sr","Bill Nelson","Democratic",67
"HI","U.S. Senate","Sr","Daniel Inouye","Democratic",67
"HI","U.S. Senate","Jr","Daniel Akaka","Democratic",100
"IA","U.S. Senate","Sr","Charles Grassley","Republican",33
"IA","U.S. Senate","Jr","Thomas Harkin","Democratic",100
"ID","U.S. Senate","Sr","Larry Craig","Republican",33
"ID","U.S. Senate","Jr","Michael Crapo","Republican",33
"IL","U.S. Senate","Sr","Richard Durbin","Democratic",100
"IN","U.S. Senate","Sr","Richard Lugar","Republican",67
"IN","U.S. Senate","Jr","Evan Bayh","Democratic",67
"KS","U.S. Senate","Sr","Samuel Brownback","Republican",33
"KS","U.S. Senate","Jr","Pat Roberts","Republican",33
"KY","U.S. Senate","Sr","Mitch McConnell","Republican",33
"KY","U.S. Senate","Jr","Jim Bunning","Republican",33
"LA","U.S. Senate","Sr","Mary Landrieu","Democratic",67
"MA","U.S. Senate","Sr","Edward Kennedy","Democratic",67
"MA","U.S. Senate","Jr","John Kerry","Democratic",100
"MD","U.S. Senate","Sr","Barbara Mikulski","Democratic",67
"ME","U.S. Senate","Sr","Olympia Snowe","Republican",67
"ME","U.S. Senate","Jr","Susan Collins","Republican",67
"MI","U.S. Senate","Sr","Carl Levin","Democratic",100
"MI","U.S. Senate","Jr","Debbie Stabenow","Democratic",100
"MO","U.S. Senate","Sr","Christopher Bond","Republican",33
"MS","U.S. Senate","Sr","Thad Cochran","Republican",33
"MT","U.S. Senate","Sr","Max Baucus","Democratic",33
"ND","U.S. Senate","Sr","Kent Conrad","Democratic-NPL",100
"ND","U.S. Senate","Jr","Byron Dorgan","Democratic-NPL",100
"NE","U.S. Senate","Sr","Charles Hagel","Republican",33
"NE","U.S. Senate","Jr","E. Benjamin Nelson","Democratic",33
"NH","U.S. Senate","Sr","Judd Gregg","Republican",67
"NJ","Governor","","Jon Corzine","Democratic",100
"NM","U.S. Senate","Sr","Pete Domenici","Republican",33
"NM","U.S. Senate","Jr","Jeff Bingaman","Democratic",67
"NV","U.S. Senate","Sr","Harry Reid","Democratic",100
"NV","U.S. Senate","Jr","John Ensign","Republican",67
"NY","U.S. Senate","Sr","Charles Schumer","Democratic",100
"NY","U.S. Senate","Jr","Hillary Clinton","Democratic",100
"OH","U.S. Senate","Sr","George Voinovich","Republican",33
"OK","U.S. Senate","Sr","James Inhofe","Republican",33
"OR","U.S. Senate","Sr","Ron Wyden","Democratic",67
"OR","U.S. Senate","Jr","Gordon Harold Smith","Republican",33
"PA","U.S. Senate","Sr","Arlen Specter","Republican",67
"RI","U.S. Senate","Sr","John Reed","Democratic",100
"SD","U.S. Senate","Sr","Tim Johnson","Democratic",100
"TX","U.S. Senate","Sr","Kay Hutchison","Republican",33
"UT","U.S. Senate","Sr","Orrin Hatch","Republican",33
"UT","U.S. Senate","Jr","Robert Bennett","Republican",33
"VA","U.S. Senate","Sr","John Warner","Republican",33
"VT","U.S. Senate","Sr","Patrick Leahy","Democratic",100
"WA","U.S. Senate","Sr","Patty Murray","Democratic",67
"WA","U.S. Senate","Jr","Maria Cantwell","Democratic",33
"WI","U.S. Senate","Sr","Herbert Kohl","Democratic",100
"WI","U.S. Senate","Jr","Russell Feingold","Democratic",100
"WV","U.S. Senate","Sr","Robert Byrd","Democratic",100
"WV","U.S. Senate","Jr","John Rockefeller","Democratic",100
"WY","U.S. Senate","Sr","Michael Enzi","Republican",0
