"http://www.votesmart.org/issue_rating_detail.php?r_id=2931&rtype=R",,,,,
"AK","U.S. Senate","Sr","Ted Stevens","Republican",4
"AK","U.S. Senate","Jr","Lisa Murkowski","Republican",8
"AK","U.S. House","At-Large","Donald Young","Republican",0
"AL","U.S. Senate","Sr","Richard Shelby","Republican",4
"AL","U.S. Senate","Jr","Jefferson Sessions","Republican",4
"AL","U.S. House",1,"Josiah Bonner","Republican",6
"AL","U.S. House",2,"Terry Everett","Republican",6
"AL","U.S. House",3,"Michael Rogers","Republican",6
"AL","U.S. House",4,"Robert Aderholt","Republican",6
"AL","U.S. House",5,"Robert Cramer","Democratic",35
"AL","U.S. House",6,"Spencer Bachus","Republican",10
"AL","U.S. House",7,"Artur Davis","Democratic",61
"AR","U.S. Senate","Sr","Blanche Lincoln","Democratic",40
"AR","U.S. Senate","Jr","Mark Pryor","Democratic",48
"AR","U.S. House",1,"Robert Berry","Democratic",42
"AR","U.S. House",2,"Victor Snyder","Democratic",94
"AR","U.S. House",3,"John Boozman","Republican",3
"AR","U.S. House",4,"Mike Ross","Democratic",42
"AZ","U.S. Senate","Sr","John McCain","Republican",56
"AZ","U.S. Senate","Jr","Jon Kyl","Republican",12
"AZ","U.S. House",1,"Richard Renzi","Republican",10
"AZ","U.S. House",2,"Trent Franks","Republican",3
"AZ","U.S. House",3,"John Shadegg","Republican",3
"AZ","U.S. House",4,"Ed Pastor","Democratic",94
"AZ","U.S. House",6,"Jeff Flake","Republican",6
"AZ","U.S. House",7,"Raúl Grijalva","Democratic",100
"CA","U.S. Senate","Sr","Dianne Feinstein","Democratic",84
"CA","U.S. Senate","Jr","Barbara Boxer","Democratic",92
"CA","U.S. House",1,"Michael Thompson","Democratic",90
"CA","U.S. House",2,"Walter Herger","Republican",3
"CA","U.S. House",4,"John Doolittle","Republican",3
"CA","U.S. House",6,"Lynn Woolsey","Democratic",97
"CA","U.S. House",7,"George Miller","Democratic",90
"CA","U.S. House",8,"Nancy Pelosi","Democratic",94
"CA","U.S. House",9,"Barbara Lee","Democratic",97
"CA","U.S. House",10,"Ellen Tauscher","Democratic",100
"CA","U.S. House",13,"Fortney Stark","Democratic",97
"CA","U.S. House",14,"Anna Eshoo","Democratic",100
"CA","U.S. House",15,"Michael Honda","Democratic",100
"CA","U.S. House",16,"Zoe Lofgren","Democratic",100
"CA","U.S. House",17,"Sam Farr","Democratic",97
"CA","U.S. House",18,"Dennis Cardoza","Democratic",68
"CA","U.S. House",19,"George Radanovich","Republican",3
"CA","U.S. House",21,"Devin Nunes","Republican",3
"CA","U.S. House",23,"Lois Capps","Democratic",100
"CA","U.S. House",24,"Elton Gallegly","Republican",6
"CA","U.S. House",25,"Howard McKeon","Republican",3
"CA","U.S. House",26,"David Dreier","Republican",0
"CA","U.S. House",27,"Brad Sherman","Democratic",100
"CA","U.S. House",28,"Howard Berman","Democratic",71
"CA","U.S. House",29,"Adam Schiff","Democratic",100
"CA","U.S. House",30,"Henry Waxman","Democratic",87
"CA","U.S. House",31,"Xavier Becerra","Democratic",94
"CA","U.S. House",32,"Hilda Solis","Democratic",100
"CA","U.S. House",33,"Diane Watson","Democratic",87
"CA","U.S. House",34,"Lucille Roybal-Allard","Democratic",94
"CA","U.S. House",35,"Maxine Waters","Democratic",94
"CA","U.S. House",36,"Jane Harman","Democratic",97
"CA","U.S. House",38,"Grace Napolitano","Democratic",94
"CA","U.S. House",39,"Linda Sánchez","Democratic",97
"CA","U.S. House",40,"Edward Royce","Republican",13
"CA","U.S. House",41,"Jerry Lewis","Republican",6
"CA","U.S. House",42,"Gary Miller","Republican",3
"CA","U.S. House",43,"Joe Baca","Democratic",61
"CA","U.S. House",44,"Ken Calvert","Republican",6
"CA","U.S. House",45,"Mary Bono Mack","Republican",13
"CA","U.S. House",46,"Dana Rohrabacher","Republican",10
"CA","U.S. House",47,"Loretta Sanchez","Democratic",90
"CA","U.S. House",49,"Darrell Issa","Republican",6
"CA","U.S. House",51,"Bob Filner","Democratic",87
"CA","U.S. House",52,"Duncan Hunter","Republican",10
"CA","U.S. House",53,"Susan Davis","Democratic",100
"CO","U.S. Senate","Sr","Wayne Allard","Republican",0
"CO","U.S. House",1,"Diana DeGette","Democratic",94
"CO","U.S. House",4,"Marilyn Musgrave","Republican",3
"CO","U.S. House",6,"Tom Tancredo","Republican",3
"CO","U.S. House","","Mark Udall","Democratic",100
"CT","U.S. Senate","Sr","Christopher Dodd","Democratic",88
"CT","U.S. Senate","Jr","Joseph Lieberman","Independent Democrat",56
"CT","U.S. House",1,"John Larson","Democratic",94
"CT","U.S. House",3,"Rosa DeLauro","Democratic",97
"CT","U.S. House",4,"Christopher Shays","Republican",87
"DE","U.S. Senate","Sr","Joseph Biden","Democratic",92
"DE","U.S. Senate","Jr","Thomas Carper","Democratic",88
"DE","U.S. House","At-Large","Michael Castle","Republican",71
"FL","U.S. Senate","Sr","Bill Nelson","Democratic",84
"FL","U.S. House",1,"Jeff Miller","Republican",6
"FL","U.S. House",2,"Allen Boyd","Democratic",55
"FL","U.S. House",3,"Corrine Brown","Democratic",94
"FL","U.S. House",4,"Ander Crenshaw","Republican",6
"FL","U.S. House",5,"Virginia Brown-Waite","Republican",3
"FL","U.S. House",6,"Clifford Stearns","Republican",10
"FL","U.S. House",7,"John Mica","Republican",6
"FL","U.S. House",8,"Ric Keller","Republican",10
"FL","U.S. House",10,"C. W. Bill Young","Republican",13
"FL","U.S. House",12,"Adam Putnam","Republican",3
"FL","U.S. House",15,"David Weldon","Republican",6
"FL","U.S. House",17,"Kendrick Meek","Democratic",90
"FL","U.S. House",18,"Ileana Ros-Lehtinen","Republican",13
"FL","U.S. House",19,"Robert Wexler","Democratic",100
"FL","U.S. House",21,"Lincoln Diaz-Balart","Republican",13
"FL","U.S. House",23,"Alcee Hastings","Democratic",71
"FL","U.S. House",24,"Tom Feeney","Republican",6
"FL","U.S. House",25,"Mario Diaz-Balart","Republican",6
"GA","U.S. Senate","Sr","C. Saxby Chambliss","Republican",0
"GA","U.S. Senate","Jr","John Isakson","Republican",3
"GA","U.S. House",1,"Jack Kingston","Republican",3
"GA","U.S. House",2,"Sanford Bishop","Democratic",35
"GA","U.S. House",5,"John Lewis","Democratic",100
"GA","U.S. House",7,"John Linder","Republican",3
"GA","U.S. House",8,"James Marshall","Democratic",58
"GA","U.S. House",9,"Nathan Deal","Republican",3
"GA","U.S. House",11,"Phil Gingrey","Republican",3
"GA","U.S. House",13,"David Scott","Democratic",55
"HI","U.S. Senate","Sr","Daniel Inouye","Democratic",64
"HI","U.S. Senate","Jr","Daniel Akaka","Democratic",88
"HI","U.S. House",1,"Neil Abercrombie","Democratic",81
"IA","U.S. Senate","Sr","Charles Grassley","Republican",0
"IA","U.S. Senate","Jr","Thomas Harkin","Democratic",73
"IA","U.S. House",3,"Leonard Boswell","Democratic",65
"IA","U.S. House",4,"Thomas Latham","Republican",6
"IA","U.S. House",5,"Steve King","Republican",6
"ID","U.S. Senate","Sr","Larry Craig","Republican",0
"ID","U.S. Senate","Jr","Michael Crapo","Republican",0
"ID","U.S. House",2,"Michael Simpson","Republican",6
"ID","Governor","","Clement Otter","Republican",3
"IL","U.S. Senate","Sr","Richard Durbin","Democratic",88
"IL","U.S. House",1,"Bobby Rush","Democratic",87
"IL","U.S. House",2,"Jesse Jackson","Democratic",100
"IL","U.S. House",4,"Luis Gutierrez","Democratic",97
"IL","U.S. House",5,"Rahm Emanuel","Democratic",97
"IL","U.S. House",7,"Danny Davis","Democratic",100
"IL","U.S. House",9,"Janice Schakowsky","Democratic",100
"IL","U.S. House",10,"Mark Kirk","Republican",71
"IL","U.S. House",11,"Gerald Weller","Republican",10
"IL","U.S. House",12,"Jerry Costello","Democratic",68
"IL","U.S. House",13,"Judy Biggert","Republican",23
"IL","U.S. House",15,"Timothy Johnson","Republican",65
"IL","U.S. House",16,"Donald Manzullo","Republican",0
"IL","U.S. House",18,"Ray LaHood","Republican",19
"IL","U.S. House",19,"John Shimkus","Republican",6
"IN","U.S. Senate","Sr","Richard Lugar","Republican",4
"IN","U.S. Senate","Jr","Evan Bayh","Democratic",80
"IN","U.S. House",1,"Peter Visclosky","Democratic",77
"IN","U.S. House",3,"Mark Souder","Republican",10
"IN","U.S. House",4,"Stephen Buyer","Republican",6
"IN","U.S. House",5,"Dan Burton","Republican",6
"IN","U.S. House",6,"Mike Pence","Republican",7
"KS","U.S. Senate","Sr","Samuel Brownback","Republican",4
"KS","U.S. Senate","Jr","Pat Roberts","Republican",0
"KS","U.S. House",1,"Jerry Moran","Republican",10
"KS","U.S. House",3,"Dennis Moore","Democratic",90
"KS","U.S. House",4,"Todd Tiahrt","Republican",3
"KY","U.S. Senate","Sr","Mitch McConnell","Republican",0
"KY","U.S. Senate","Jr","Jim Bunning","Republican",0
"KY","U.S. House",1,"Edward Whitfield","Republican",13
"KY","U.S. House",2,"Ron Lewis","Republican",10
"KY","U.S. House",5,"Harold Rogers","Republican",3
"KY","U.S. House",6,"Albert Chandler","Democratic",100
"LA","U.S. Senate","Sr","Mary Landrieu","Democratic",32
"LA","U.S. Senate","Jr","David Vitter","Republican",0
"LA","U.S. House",2,"William Jefferson","Democratic",61
"LA","U.S. House",4,"James McCrery","Republican",6
"LA","U.S. House",5,"Rodney Alexander","Republican",30
"MA","U.S. Senate","Sr","Edward Kennedy","Democratic",92
"MA","U.S. Senate","Jr","John Kerry","Democratic",44
"MA","U.S. House",1,"John Olver","Democratic",100
"MA","U.S. House",2,"Richard Neal","Democratic",97
"MA","U.S. House",3,"James McGovern","Democratic",100
"MA","U.S. House",4,"Barney Frank","Democratic",97
"MA","U.S. House",6,"John Tierney","Democratic",97
"MA","U.S. House",7,"Edward Markey","Democratic",100
"MA","U.S. House",8,"Michael Capuano","Democratic",90
"MA","U.S. House",9,"Stephen Lynch","Democratic",97
"MA","U.S. House",10,"William Delahunt","Democratic",94
"MD","U.S. Senate","Sr","Barbara Mikulski","Democratic",84
"MD","U.S. Senate","Jr","Benjamin Cardin","Democratic",100
"MD","U.S. House",1,"Wayne Gilchrest","Republican",52
"MD","U.S. House",2,"C.A. Dutch Ruppersberger","Democratic",87
"MD","U.S. House",5,"Steny Hoyer","Democratic",90
"MD","U.S. House",6,"Roscoe Bartlett","Republican",19
"MD","U.S. House",7,"Elijah Cummings","Democratic",90
"MD","U.S. House",8,"Christopher Van Hollen","Democratic",100
"ME","U.S. Senate","Sr","Olympia Snowe","Republican",68
"ME","U.S. Senate","Jr","Susan Collins","Republican",64
"ME","U.S. House",1,"Thomas Allen","Democratic",90
"ME","U.S. House",2,"Michael Michaud","Democratic",87
"MI","U.S. Senate","Sr","Carl Levin","Democratic",88
"MI","U.S. Senate","Jr","Debbie Stabenow","Democratic",88
"MI","U.S. House",1,"Bart Stupak","Democratic",61
"MI","U.S. House",2,"Peter Hoekstra","Republican",6
"MI","U.S. House",3,"Vernon Ehlers","Republican",52
"MI","U.S. House",4,"David Camp","Republican",3
"MI","U.S. House",5,"Dale Kildee","Democratic",94
"MI","U.S. House",6,"Frederick Stephen Upton","Republican",23
"MI","U.S. House",8,"Mike Rogers","Republican",3
"MI","U.S. House",9,"Joseph Knollenberg","Republican",6
"MI","U.S. House",10,"Candice Miller","Republican",6
"MI","U.S. House",11,"Thaddeus McCotter","Republican",3
"MI","U.S. House",12,"Sander Levin","Democratic",90
"MI","U.S. House",13,"Carolyn Kilpatrick","Democratic",84
"MI","U.S. House",14,"John Conyers","Democratic",81
"MI","U.S. House",15,"John Dingell","Democratic",97
"MN","U.S. Senate","Sr","Norm Coleman","Republican",16
"MN","U.S. House",2,"John Kline","Republican",3
"MN","U.S. House",3,"James Ramstad","Republican",61
"MN","U.S. House",4,"Betty McCollum","Democratic/Farmer/Labor",97
"MN","U.S. House",7,"Collin Peterson","Democratic/Farmer/Labor",19
"MN","U.S. House",8,"James Oberstar","Democratic/Farmer/Labor",68
"MO","U.S. Senate","Sr","Christopher Bond","Republican",0
"MO","U.S. House",1,"William Lacy Clay","Democratic",90
"MO","U.S. House",2,"W. Todd Akin","Republican",6
"MO","U.S. House",4,"Ike Skelton","Democratic",61
"MO","U.S. House",6,"Samuel Graves","Republican",6
"MO","U.S. House",7,"Roy Blunt","Republican",0
"MO","U.S. House",8,"Jo Ann Emerson","Republican",3
"MO","U.S. House",9,"Kenny Hulshof","Republican",3
"MS","U.S. Senate","Sr","Thad Cochran","Republican",0
"MS","U.S. Senate","Jr","Roger Wicker","Republican",6
"MS","U.S. House",2,"Bennie Thompson","Democratic",74
"MS","U.S. House",3,"Charles Pickering","Republican",0
"MS","U.S. House",4,"Gene Taylor","Democratic",52
"MT","U.S. Senate","Sr","Max Baucus","Democratic",52
"MT","U.S. House","At-Large","Dennis Rehberg","Republican",0
"NC","U.S. Senate","Sr","Elizabeth Dole","Republican",8
"NC","U.S. Senate","Jr","Richard Burr","Republican",6
"NC","U.S. House",2,"Bob Etheridge","Democratic",84
"NC","U.S. House",3,"Walter Beaman Jones","Republican",10
"NC","U.S. House",4,"David Price","Democratic",97
"NC","U.S. House",6,"John Coble","Republican",3
"NC","U.S. House",7,"Douglas McIntyre","Democratic",68
"NC","U.S. House",8,"Robert Hayes","Republican",6
"NC","U.S. House",9,"Suellen Myrick","Republican",3
"NC","U.S. House",12,"Melvin Watt","Democratic",100
"NC","U.S. House",13,"Ralph Miller","Democratic",97
"ND","U.S. Senate","Sr","Kent Conrad","Democratic-NPL",60
"ND","U.S. Senate","Jr","Byron Dorgan","Democratic-NPL",56
"ND","U.S. House","At-Large","Earl Pomeroy","Democratic-NPL",61
"NE","U.S. Senate","Sr","Charles Hagel","Republican",0
"NE","U.S. Senate","Jr","E. Benjamin Nelson","Democratic",32
"NE","U.S. House",2,"Lee Terry","Republican",6
"NH","U.S. Senate","Sr","Judd Gregg","Republican",44
"NH","U.S. Senate","Jr","John Sununu","Republican",36
"NJ","U.S. Senate","Sr","Frank Lautenberg","Democratic",92
"NJ","U.S. Senate","Jr","Robert Menendez","Democratic",97
"NJ","U.S. House",1,"Robert Andrews","Democratic",100
"NJ","U.S. House",2,"Frank LoBiondo","Republican",81
"NJ","U.S. House",3,"H. James Saxton","Republican",74
"NJ","U.S. House",4,"Christopher Smith","Republican",84
"NJ","U.S. House",5,"Scott Garrett","Republican",13
"NJ","U.S. House",6,"Frank Pallone","Democratic",100
"NJ","U.S. House",7,"Michael Ferguson","Republican",35
"NJ","U.S. House",8,"William Pascrell","Democratic",87
"NJ","U.S. House",9,"Steven Rothman","Democratic",97
"NJ","U.S. House",10,"Donald Payne","Democratic",94
"NJ","U.S. House",11,"Rodney Frelinghuysen","Republican",42
"NJ","U.S. House",12,"Rush Holt","Democratic",100
"NJ","Governor","","Jon Corzine","Democratic",88
"NM","U.S. Senate","Sr","Pete Domenici","Republican",0
"NM","U.S. Senate","Jr","Jeff Bingaman","Democratic",84
"NM","U.S. House",1,"Heather Wilson","Republican",16
"NM","U.S. House",2,"Stevan Pearce","Republican",3
"NM","U.S. House",3,"Tom Udall","Democratic",97
"NV","U.S. Senate","Sr","Harry Reid","Democratic",76
"NV","U.S. Senate","Jr","John Ensign","Republican",16
"NV","U.S. House",1,"Shelley Berkley","Democratic",77
"NV","U.S. House",3,"Jon Porter","Republican",10
"NV","Governor","","James Gibbons","Republican",3
"NY","U.S. Senate","Sr","Charles Schumer","Democratic",96
"NY","U.S. Senate","Jr","Hillary Clinton","Democratic",92
"NY","U.S. House",1,"Timothy Bishop","Democratic",100
"NY","U.S. House",2,"Steve Israel","Democratic",100
"NY","U.S. House",3,"Peter King","Republican",16
"NY","U.S. House",4,"Carolyn McCarthy","Democratic",97
"NY","U.S. House",5,"Gary Ackerman","Democratic",94
"NY","U.S. House",6,"Gregory Meeks","Democratic",90
"NY","U.S. House",7,"Joseph Crowley","Democratic",94
"NY","U.S. House",8,"Jerrold Nadler","Democratic",97
"NY","U.S. House",9,"Anthony David Weiner","Democratic",97
"NY","U.S. House",10,"Edolphus Towns","Democratic",71
"NY","U.S. House",12,"Nydia Velázquez","Democratic",97
"NY","U.S. House",13,"Vito Fossella","Republican",16
"NY","U.S. House",14,"Carolyn Maloney","Democratic",100
"NY","U.S. House",15,"Charles Rangel","Democratic",90
"NY","U.S. House",16,"José Serrano","Democratic",97
"NY","U.S. House",17,"Eliot Engel","Democratic",100
"NY","U.S. House",18,"Nita Lowey","Democratic",97
"NY","U.S. House",21,"Michael McNulty","Democratic",100
"NY","U.S. House",22,"Maurice Hinchey","Democratic",97
"NY","U.S. House",23,"John McHugh","Republican",13
"NY","U.S. House",25,"James Walsh","Republican",32
"NY","U.S. House",26,"Thomas Reynolds","Republican",6
"NY","U.S. House",28,"Louise Slaughter","Democratic",97
"OH","U.S. Senate","Sr","George Voinovich","Republican",8
"OH","U.S. Senate","Jr","Sherrod Brown","Democratic",94
"OH","U.S. House",1,"Steven Chabot","Republican",16
"OH","U.S. House",3,"Michael Turner","Republican",0
"OH","U.S. House",7,"David Lee Hobson","Republican",3
