"http://www.votesmart.org/issue_rating_detail.php?r_id=1862&rtype=R",,,,,
"AR","U.S. Senate","Sr","Blanche Lincoln","Democratic",100
"AR","U.S. House",2,"Victor Snyder","Democratic",100
"AZ","U.S. House",4,"Ed Pastor","Democratic",83
"CA","U.S. Senate","Sr","Dianne Feinstein","Democratic",100
"CA","U.S. Senate","Jr","Barbara Boxer","Democratic",100
"CA","U.S. House",1,"Michael Thompson","Democratic",83
"CA","U.S. House",6,"Lynn Woolsey","Democratic",67
"CA","U.S. House",7,"George Miller","Democratic",100
"CA","U.S. House",8,"Nancy Pelosi","Democratic",83
"CA","U.S. House",9,"Barbara Lee","Democratic",100
"CA","U.S. House",10,"Ellen Tauscher","Democratic",83
"CA","U.S. House",13,"Fortney Stark","Democratic",83
"CA","U.S. House",14,"Anna Eshoo","Democratic",83
"CA","U.S. House",15,"Michael Honda","Democratic",83
"CA","U.S. House",16,"Zoe Lofgren","Democratic",83
"CA","U.S. House",17,"Sam Farr","Democratic",83
"CA","U.S. House",23,"Lois Capps","Democratic",83
"CA","U.S. House",27,"Brad Sherman","Democratic",83
"CA","U.S. House",28,"Howard Berman","Democratic",67
"CA","U.S. House",29,"Adam Schiff","Democratic",83
"CA","U.S. House",30,"Henry Waxman","Democratic",100
"CA","U.S. House",32,"Hilda Solis","Democratic",67
"CA","U.S. House",33,"Diane Watson","Democratic",83
"CA","U.S. House",34,"Lucille Roybal-Allard","Democratic",67
"CA","U.S. House",35,"Maxine Waters","Democratic",67
"CA","U.S. House",36,"Jane Harman","Democratic",100
"CA","U.S. House",38,"Grace Napolitano","Democratic",67
"CA","U.S. House",43,"Joe Baca","Democratic",67
"CA","U.S. House",47,"Loretta Sanchez","Democratic",83
"CA","U.S. House",51,"Bob Filner","Democratic",83
"CA","U.S. House",53,"Susan Davis","Democratic",83
"CO","U.S. House",1,"Diana DeGette","Democratic",67
"CO","U.S. House","","Mark Udall","Democratic",83
"CT","U.S. Senate","Sr","Christopher Dodd","Democratic",100
"CT","U.S. Senate","Jr","Joseph Lieberman","Independent Democrat",100
"CT","U.S. House",1,"John Larson","Democratic",67
"CT","U.S. House",3,"Rosa DeLauro","Democratic",83
"CT","U.S. House",4,"Christopher Shays","Republican",67
"DE","U.S. Senate","Sr","Joseph Biden","Democratic",100
"DE","U.S. Senate","Jr","Thomas Carper","Democratic",100
"FL","U.S. Senate","Sr","Bill Nelson","Democratic",100
"FL","U.S. House",2,"Allen Boyd","Democratic",67
"FL","U.S. House",3,"Corrine Brown","Democratic",83
"FL","U.S. House",19,"Robert Wexler","Democratic",83
"FL","U.S. House",21,"Lincoln Diaz-Balart","Republican",33
"FL","U.S. House",23,"Alcee Hastings","Democratic",83
"GA","U.S. House",2,"Sanford Bishop","Democratic",67
"GA","U.S. House",5,"John Lewis","Democratic",67
"HI","U.S. Senate","Sr","Daniel Inouye","Democratic",67
"HI","U.S. Senate","Jr","Daniel Akaka","Democratic",67
"HI","U.S. House",1,"Neil Abercrombie","Democratic",67
"IA","U.S. Senate","Jr","Thomas Harkin","Democratic",100
"IA","U.S. House",3,"Leonard Boswell","Democratic",67
"IL","U.S. Senate","Sr","Richard Durbin","Democratic",100
"IL","U.S. House",1,"Bobby Rush","Democratic",67
"IL","U.S. House",2,"Jesse Jackson","Democratic",83
"IL","U.S. House",4,"Luis Gutierrez","Democratic",67
"IL","U.S. House",7,"Danny Davis","Democratic",83
"IL","U.S. House",9,"Janice Schakowsky","Democratic",83
"IL","U.S. House",12,"Jerry Costello","Democratic",67
"IL","U.S. House",15,"Timothy Johnson","Republican",67
"IN","U.S. Senate","Jr","Evan Bayh","Democratic",100
"IN","U.S. House",1,"Peter Visclosky","Democratic",83
"IN","U.S. House",9,"Baron Hill","Democratic",83
"KS","U.S. House",3,"Dennis Moore","Democratic",83
"LA","U.S. House",2,"William Jefferson","Democratic",83
"MA","U.S. Senate","Sr","Edward Kennedy","Democratic",100
"MA","U.S. Senate","Jr","John Kerry","Democratic",100
"MA","U.S. House",1,"John Olver","Democratic",83
"MA","U.S. House",2,"Richard Neal","Democratic",67
"MA","U.S. House",3,"James McGovern","Democratic",83
"MA","U.S. House",4,"Barney Frank","Democratic",83
"MA","U.S. House",6,"John Tierney","Democratic",83
"MA","U.S. House",7,"Edward Markey","Democratic",83
"MA","U.S. House",8,"Michael Capuano","Democratic",67
"MA","U.S. House",10,"William Delahunt","Democratic",83
"MD","U.S. Senate","Sr","Barbara Mikulski","Democratic",100
"MD","U.S. Senate","Jr","Benjamin Cardin","Democratic",83
"MD","U.S. House",5,"Steny Hoyer","Democratic",83
"MD","U.S. House",7,"Elijah Cummings","Democratic",83
"ME","U.S. Senate","Sr","Olympia Snowe","Republican",67
"ME","U.S. Senate","Jr","Susan Collins","Republican",67
"ME","U.S. House",1,"Thomas Allen","Democratic",83
