
admin.logentry:id,action_time,user,content_type,object_id,object_repr,action_flag,change_message
32,2008-11-04 02:11:20,1,9,456,"U.S. Senate, Colorado (2008)",2,Changed deck.
31,2008-11-04 02:09:41,1,10,1160,John Sidney McCain III (Republican),2,Changed is_key.
30,2008-11-04 02:09:33,1,10,1161,Barack Hussein Obama Jr. (Democratic),2,Changed is_key.
29,2008-11-04 02:08:36,1,10,1519,Robert W. Schaffer (Republican),2,Changed is_key.
28,2008-11-04 02:08:12,1,10,1520,Mark E. Udall (Democratic),2,Changed is_key.
27,2008-11-04 02:07:33,1,10,1510,Mark Begich (Democratic),2,Changed is_key.
26,2008-11-04 02:06:23,1,9,468,"U.S. Senate, Oklahoma (2008)",2,Changed last_race and deck.
25,2008-11-04 02:05:52,1,9,456,"U.S. Senate, Colorado (2008)",2,Changed deck.
24,2008-11-04 02:05:33,1,9,472,"U.S. Senate, New Mexico (2008)",2,Changed headline and deck.
23,2008-11-04 02:05:13,1,9,470,"U.S. Senate, New Hampshire (2008)",2,Changed headline and deck.
22,2008-11-04 02:03:18,1,9,474,"U.S. Senate, Kentucky (2008)",2,Changed headline and deck.
21,2008-11-04 02:03:00,1,9,454,"U.S. Senate, Alaska (2008)",2,Changed headline and deck.
20,2008-11-04 02:01:38,1,9,454,"U.S. Senate, Alaska (2008)",2,"Changed last_race, headline, deck and body."
19,2008-11-04 02:00:24,1,9,474,"U.S. Senate, Kentucky (2008)",2,"Changed last_race, headline and body."
18,2008-11-04 01:59:42,1,9,470,"U.S. Senate, New Hampshire (2008)",2,"Changed last_race, headline and body."
17,2008-11-04 01:59:01,1,9,472,"U.S. Senate, New Mexico (2008)",2,"Changed last_race, is_key, headline and body."
16,2008-11-04 01:56:59,1,9,456,"U.S. Senate, Colorado (2008)",2,"Changed last_race, is_key, headline and body."
15,2008-11-04 01:54:27,1,9,468,"U.S. Senate, Oklahoma (2008)",2,Changed headline and body.
14,2008-11-04 01:10:47,1,10,1514,Ted Stevens (Republican),2,Changed is_key.
13,2008-11-04 01:10:25,1,10,1571,Mitch McConnell (Republican),2,Changed is_key.
12,2008-11-04 01:09:39,1,10,1570,William Bruce Lunsford (Democratic),2,Changed is_key.
11,2008-11-04 01:09:03,1,10,1562,John E. Sununu (Republican),2,Changed is_key.
10,2008-11-04 01:08:35,1,10,1561,Jeanne Shaheen (Democratic),2,Changed is_key.
9,2008-11-04 01:07:29,1,10,1565,Stevan E. Pearce (Republican),2,Changed is_key.
8,2008-11-04 01:07:17,1,10,1566,Tom S. Udall (Democratic),2,Changed is_key.
7,2008-11-04 01:06:12,1,10,1553,James M. Inhofe (Republican),2,Changed is_key.
6,2008-11-04 01:05:48,1,10,1554,Andrew Rice (Democratic),2,Changed is_key.
5,2008-11-04 01:05:13,1,9,454,"U.S. Senate, Alaska (2008)",2,Changed is_key.
4,2008-11-04 01:04:57,1,9,474,"U.S. Senate, Kentucky (2008)",2,Changed is_key.
3,2008-11-04 01:04:40,1,9,470,"U.S. Senate, New Hampshire (2008)",2,Changed is_key.
2,2008-11-04 01:04:06,1,9,468,"U.S. Senate, Oklahoma (2008)",2,Changed is_key.
1,2008-11-04 01:03:22,1,9,950,President of the United States (2008),2,Changed is_key.

auth.permission:id,name,content_type,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
7,Can add group,3,add_group
13,Can add message,5,add_message
4,Can add permission,2,add_permission
10,Can add user,4,add_user
8,Can change group,3,change_group
14,Can change message,5,change_message
5,Can change permission,2,change_permission
11,Can change user,4,change_user
9,Can delete group,3,delete_group
15,Can delete message,5,delete_message
6,Can delete permission,2,delete_permission
12,Can delete user,4,delete_user
16,Can add content type,6,add_contenttype
17,Can change content type,6,change_contenttype
18,Can delete content type,6,delete_contenttype
34,Can add endorsement,12,add_endorsement
31,Can add organization,11,add_organization
35,Can change endorsement,12,change_endorsement
32,Can change organization,11,change_organization
36,Can delete endorsement,12,delete_endorsement
33,Can delete organization,11,delete_organization
28,Can add candidate,10,add_candidate
25,Can add race,9,add_race
29,Can change candidate,10,change_candidate
26,Can change race,9,change_race
30,Can delete candidate,10,delete_candidate
27,Can delete race,9,delete_race
19,Can add session,7,add_session
20,Can change session,7,change_session
21,Can delete session,7,delete_session
22,Can add site,8,add_site
23,Can change site,8,change_site
24,Can delete site,8,delete_site

auth.user:id,username,first_name,last_name,email,password,is_staff,is_active,is_superuser,last_login,date_joined,groups,user_permissions
1,admin, , ,admin@envirovote.us,sha1$82540$63ad33deebdc60d4769c8c22e7f5f6481dcf6d89,True,True,True,2008-11-04 01:02:48,2008-11-01 19:59:16,,

contenttypes.contenttype:id,name,app_label,model
10,candidate,races,candidate
6,content type,contenttypes,contenttype
12,endorsement,endorsements,endorsement
3,group,auth,group
1,log entry,admin,logentry
5,message,auth,message
11,organization,endorsements,organization
2,permission,auth,permission
9,race,races,race
7,session,sessions,session
8,site,sites,site
4,user,auth,user

sessions.session:session_key,session_data,expire_date
cc976bcbc45d095ce6e6ebec56924681,"gAJ9cQEoVRJfYXV0aF91c2VyX2JhY2tlbmRxAlUpZGphbmdvLmNvbnRyaWIuYXV0aC5iYWNrZW5k
cy5Nb2RlbEJhY2tlbmRxA1UNX2F1dGhfdXNlcl9pZHEESwF1Ljg5YTZjYTMyNTdhNmIzNWVlODk2
NTE5NzcxNjJmODFl
",2008-11-18 01:02:48

sites.site:id,domain,name
1,example.com,example.com

races.race:id,race_type,state,district,year,last_race,is_key,headline,deck,body,tally_updated,tally_notes,winner,projected
1,gov,MO,,2008,,False,,,,,,,False
2,gov,MT,,2008,,False,,,,,,,False
3,gov,IN,,2008,,False,,,,,,,False
4,gov,DE,,2008,,False,,,,,,,False
5,gov,NC,,2008,,False,,,,,,,False
6,gov,ND,,2008,,False,,,,,,,False
7,gov,UT,,2008,,False,,,,,,,False
8,gov,WV,,2008,,False,,,,,,,False
9,gov,WA,,2008,,False,,,,,,,False
10,gov,NH,,2008,,False,,,,,,,False
11,gov,VT,,2008,,False,,,,,,,False
12,hou,FL,11,2008,611,False,,,,,,,False
13,hou,FL,7,2008,607,False,,,,,,,False
14,hou,FL,13,2008,613,False,,,,,,,False
15,hou,FL,24,2008,624,False,,,,,,,False
16,hou,FL,9,2008,609,False,,,,,,,False
17,hou,FL,15,2008,615,False,,,,,,,False
18,hou,FL,2,2008,602,False,,,,,,,False
19,hou,FL,3,2008,603,False,,,,,,,False
20,hou,FL,5,2008,605,False,,,,,,,False
21,hou,FL,1,2008,601,False,,,,,,,False
22,hou,FL,4,2008,604,False,,,,,,,False
23,hou,FL,6,2008,606,False,,,,,,,False
24,hou,FL,21,2008,621,False,,,,,,,False
25,hou,FL,25,2008,625,False,,,,,,,False
26,hou,FL,14,2008,614,False,,,,,,,False
27,hou,FL,19,2008,619,False,,,,,,,False
28,hou,FL,8,2008,608,False,,,,,,,False
29,hou,FL,10,2008,610,False,,,,,,,False
30,hou,FL,23,2008,623,False,,,,,,,False
31,hou,FL,20,2008,620,False,,,,,,,False
32,hou,FL,22,2008,622,False,,,,,,,False
33,hou,FL,16,2008,616,False,,,,,,,False
34,hou,FL,17,2008,617,False,,,,,,,False
35,hou,FL,12,2008,612,False,,,,,,,False
36,hou,FL,18,2008,618,False,,,,,,,False
37,hou,MI,8,2008,720,False,,,,,,,False
38,hou,MI,4,2008,716,False,,,,,,,False
39,hou,MI,9,2008,721,False,,,,,,,False
40,hou,MI,1,2008,713,False,,,,,,,False
41,hou,MI,10,2008,722,False,,,,,,,False
42,hou,MI,14,2008,726,False,,,,,,,False
43,hou,MI,6,2008,718,False,,,,,,,False
44,hou,MI,12,2008,724,False,,,,,,,False
45,hou,MI,13,2008,725,False,,,,,,,False
46,hou,MI,15,2008,727,False,,,,,,,False
47,hou,MI,3,2008,715,False,,,,,,,False
48,hou,MI,2,2008,714,False,,,,,,,False
49,hou,MI,5,2008,717,False,,,,,,,False
50,hou,MI,11,2008,723,False,,,,,,,False
51,hou,MI,7,2008,719,False,,,,,,,False
52,hou,MO,2,2008,741,False,,,,,,,False
53,hou,MO,8,2008,747,False,,,,,,,False
54,hou,MO,3,2008,742,False,,,,,,,False
55,hou,MO,9,2008,748,False,,,,,,,False
56,hou,MO,6,2008,745,False,,,,,,,False
57,hou,MO,7,2008,746,False,,,,,,,False
58,hou,MO,1,2008,740,False,,,,,,,False
59,hou,MO,5,2008,744,False,,,,,,,False
60,hou,MO,4,2008,743,False,,,,,,,False
61,hou,MT,0,2008,749,False,,,,,,,False
62,hou,ID,2,2008,642,False,,,,,,,False
63,hou,ID,1,2008,641,False,,,,,,,False
64,hou,GA,12,2008,637,False,,,,,,,False
65,hou,GA,2,2008,627,False,,,,,,,False
66,hou,GA,10,2008,635,False,,,,,,,False
67,hou,GA,3,2008,628,False,,,,,,,False
68,hou,GA,9,2008,634,False,,,,,,,False
69,hou,GA,11,2008,636,False,,,,,,,False
70,hou,GA,1,2008,626,False,,,,,,,False
71,hou,GA,8,2008,633,False,,,,,,,False
72,hou,GA,7,2008,632,False,,,,,,,False
73,hou,GA,13,2008,638,False,,,,,,,False
74,hou,GA,4,2008,629,False,,,,,,,False
75,hou,GA,6,2008,631,False,,,,,,,False
76,hou,GA,5,2008,630,False,,,,,,,False
77,hou,HI,1,2008,639,False,,,,,,,False
78,hou,HI,2,2008,640,False,,,,,,,False
79,hou,IN,4,2008,665,False,,,,,,,False
80,hou,IN,5,2008,666,False,,,,,,,False
81,hou,IN,7,2008,668,False,,,,,,,False
82,hou,IN,2,2008,663,False,,,,,,,False
83,hou,IN,1,2008,662,False,,,,,,,False
84,hou,IN,8,2008,669,False,,,,,,,False
85,hou,IN,9,2008,670,False,,,,,,,False
86,hou,IN,6,2008,667,False,,,,,,,False
87,hou,IN,3,2008,664,False,,,,,,,False
88,hou,MN,6,2008,733,False,,,,,,,False
89,hou,MN,8,2008,735,False,,,,,,,False
90,hou,MN,1,2008,728,False,,,,,,,False
91,hou,MN,5,2008,732,False,,,,,,,False
92,hou,MN,3,2008,730,False,,,,,,,False
93,hou,MN,2,2008,729,False,,,,,,,False
94,hou,MN,4,2008,731,False,,,,,,,False
95,hou,MN,7,2008,734,False,,,,,,,False
96,hou,CT,5,2008,599,False,,,,,,,False
97,hou,CT,4,2008,598,False,,,,,,,False
98,hou,CT,2,2008,596,False,,,,,,,False
99,hou,CT,3,2008,597,False,,,,,,,False
100,hou,CT,1,2008,595,False,,,,,,,False
101,hou,DE,0,2008,600,False,,,,,,,False
102,hou,IA,2,2008,672,False,,,,,,,False
103,hou,IA,3,2008,673,False,,,,,,,False
104,hou,IA,1,2008,671,False,,,,,,,False
105,hou,IA,4,2008,674,False,,,,,,,False
106,hou,IA,5,2008,675,False,,,,,,,False
107,hou,IL,16,2008,658,False,,,,,,,False
